group_name,dfes_substation,match_type,suggestion,licence
BERSHAM COLLIERY T1,BERSHAM COLLIERY T1,exact_spm,,SPM
BERSHAM RD T1 / IND COOPE T1 / RHYD BROUGHTON LA T1 / TUTTLE ST T1,BERSHAM RD T1 / IND COOPE T1 / RHYD BROUGHTON LA T1 / TUTTLE ST T1,exact_spm,,SPM
BETHESDA T1,BETHESDA T1,exact_spm,,SPM
BETWS-Y-COED T1,BETWS-Y-COED T1,exact_spm,,SPM
BEWSEY T1 / OWEN ST T1 / RODNEY ST T1 / RYLANDS ELDON ST T1,BEWSEY T1 / OWEN ST T1 / RODNEY ST T1 / RYLANDS ELDON ST T1,exact_spm,,SPM
BIBBYS T1 / INLAND REVENUE OFFICES T1 / REGENT RD T1,BIBBYS T1 / INLAND REVENUE OFFICES T1 / REGENT RD T1,exact_spm,,SPM
BICC HELSBY T1 / BICC HELSBY T2 / MERES EDGE T1,,unmatched,,
BICC HUYTON QUARRY T1 / TARBOCK T1 / WHISTON T1,BICC HUYTON QUARRY T1 / TARBOCK T1 / WHISTON T1,exact_spm,,SPM
BICC WREXHAM T1 / MARCHWIEL T1 / WIE CENTRAL T1,BICC WREXHAM T1 / MARCHWIEL T1 / WIE CENTRAL T1,exact_spm,,SPM
BIRKENHEAD,BIRKENHEAD,exact_spm,,SPM
BIRKENHEAD CENTRAL T1 / SINGLETON AVE T1 / TRANMERE T1,BIRKENHEAD CENTRAL T1 / SINGLETON AVE T1 / TRANMERE T1,exact_spm,,SPM
BLACON T1 / COCOA BARRY T1 / CRANE BANK T1 / KNUTSFORD WAY T1 / TOWER WHARF T1,BLACON T1 / COCOA BARRY T1 / CRANE BANK T1 / KNUTSFORD WAY T1 / TOWER WHARF T1,exact_spm,,SPM
BLAENAU FFESTINIOG T1,BLAENAU FFESTINIOG T1,exact_spm,,SPM
BLAENAU PLASTICS T1 / BLAENAU PLASTICS T2,,unmatched,,
BLUNDELL ST T1 / ROPEWALKS T1 / ST JAMES T1,BLUNDELL ST T1 / ROPEWALKS T1 / ST JAMES T1,exact_spm,,SPM
BLUNDELLSANDS (NORTH) T1 / BLUNDELLSANDS (SOUTH) T1 / CROSBY T1 / KERSHAW AVE T1 / WATERLOO T2,BLUNDELLSANDS (NORTH) T1 / BLUNDELLSANDS (SOUTH) T1 / CROSBY T1 / KERSHAW AVE T1 / WATERLOO T2,exact_spm,,SPM
BODFARI PRODUCERS T1,BODFARI PRODUCERS T1,exact_spm,,SPM
BOLD G4A / PRESCOT GT1B / WIDNES GT1 / WIDNES GT2,BOLD G4A / PRESCOT GT1B / WIDNES GT1 / WIDNES GT2,exact_spm,,SPM
BOLD G4B / RAVENHEAD G1A2 / ST HELENS GT2,BOLD G4B / RAVENHEAD G1A2 / ST HELENS GT2A,fuzzy_spm,,SPM
BOLTON ST T1 / GREEK ST T1 / HPO COPPERAS HILL T1 / OLDHAM PLACE T1,BOLTON ST T1 / GREEK ST T1 / HPO COPPERAS HILL T1 / OLDHAM PLACE T1,exact_spm,,SPM
BOOTLE GRID T1 / KELLOGGS T1 / PACIFIC RD T1 / WASHINGTON ST T1 / WATERLOO T1,BOOTLE GRID T1 / KELLOGGS T1 / PACIFIC RD T1 / WASHINGTON ST T1 / WATERLOO T1,exact_spm,,SPM
BOOTLE GRID T2 / ORRELL MOUNT T1 / SCARISBRICK AVE T1 / TATTON RD T1,BOOTLE GRID T2 / ORRELL MOUNT T1 / SCARISBRICK AVE T1 / TATTON RD T1,exact_spm,,SPM
BOOTLE GT1 / LITHERLAND GT1A,BOOTLE GT1 / LITHERLAND GT1A,exact_spm,,SPM
BOOTLE GT2A / BURLINGTON ST GT1 / LISTER DV A GT2,BOOTLE GT2A / BURLINGTON ST GT1 / LISTER DV A GT2,exact_spm,,SPM
BOTWNNOG T1,BOTWNNOG T1,exact_spm,,SPM
BOULEVARD T1 / CHAPELFORD T1 / HAWLEYS LA T1 / WESTBROOK T1 / WINWICK QUAY T1,BOULEVARD T1 / CHAPELFORD T1 / HAWLEYS LA T1 / WESTBROOK T1 / WINWICK QUAY T1,exact_spm,,SPM
BOW ST T1,BOW ST T1,exact_spm,,SPM
BOWATER CONTAINERS T1 / ELLESMERE PORT LOCAL T1 / HH ROBERTSONS T1 / MOBIL OIL (E PORT) T1 / WHITBY MAIN T1,BOWATER CONTAINERS T1 / ELLESMERE PORT LOCAL T1 / HH ROBERTSONS T1 / MOBIL OIL (E PORT) T1 / WHITBY T1,fuzzy_spm,,SPM
BR STATION T1 / DUCHY RD T1 / ELECTRA WAY T1 / MIDLAND ROLLMAKERS T1A / NORTH WESTERN MILLS T1,BR STATION T1 / DUCHY RD T1 / ELECTRA WAY T1 / MIDLAND ROLLMAKERS T1A / NORTH WESTERN MILLS T1,exact_spm,,SPM
BRAEHEAD PARK PRIMARY,,unmatched,,
BRD T1,BRD T1,exact_spm,,SPM
BRITISH ALUMINIUM LATCHFORD T1 / GREENHALL WHITLEY T1 / LATCHFORD T1 / LATCHFORD T2 / THAMES BOARD MILL T1,BRITISH ALUMINIUM LATCHFORD T1 / GREENHALL WHITLEY T1 / LATCHFORD T1 / LATCHFORD T2,fuzzy_spm,,SPM
BRITISH OXYGEN T1 / WINDLEHURST T1,BRITISH OXYGEN T1 / WINDLEHURST T1,exact_spm,,SPM
BRITISH PIPE ASSOCIATION T1,BRITISH PIPE ASSOCIATION T1,exact_spm,,SPM
