group_name,dfes_substation,licence
RHYD-Y-FOEL T1,RHYD-Y-FOEL T1,SPM
RHYDLYDAN T2,RHYDLYDAN T2,SPM
RHYL GT2,,
RINGWAY T1,,
RIVALS T1,RIVALS T1,SPM
ROLLS ROYCE T1 / ROLLS ROYCE T2 / ROLLS ROYCE T3,,
ROSSETT T1,ROSSETT T1,SPM
ROYAL INSURANCE (NEW QUAY) T1 / ROYAL INSURANCE (NEW QUAY) T2,ROYAL INSURANCE (NEW QUAY) T1 / ROYAL INSURANCE (NEW QUAY) T2,SPM
RUABON T1,RUABON T1,SPM
Radnor Park,RADNOR PARK,SPD
Raith,RAITH,SPD
Ralston,RALSTON,SPD
Randolph Lane,RANDOLPH LANE,SPD
Randolph Road,RANDOLPH ROAD,SPD
Rannoch Road,RANNOCH ROAD,SPD
Ravenspark,RAVENSPARK,SPD
Redhouse,REDHOUSE,SPD
Redhouse GSP,REDHOUSE,SPD
Riverside,RIVERSIDE,SPD
Roseburn,ROSEBURN,SPD
Rottenrow,ROTTENROW,SPD
Rottenrow B,ROTTENROW B,SPD
S&N Viewforth,,
SALT UNION,,
SANDBACH T1,SANDBACH T1,SPM
SANKEY BRIDGES GT3 / WARRINGTON GT5,SANKEY BRIDGES GT3 / WARRINGTON GT5,SPM
SEC PRIMARY,,
SHAWBURY T1,SHAWBURY T1,SPM
SMALLWOOD T1,SMALLWOOD T1,SPM
SNOWHILL T1,SNOWHILL T1,SPM
ST ASAPH BUSINESS PK T1,ST ASAPH BUSINESS PK T1,SPM
ST HELENS RD T1,ST HELENS RD T1,SPM
STAPELEY T1,STAPELEY T1,SPM
Saltcoats A,SALTCOATS A,SPD
Saltcoats B,SALTCOATS B,SPD
Saltcoats Main,SALTCOATS MAIN,SPD
Saltney T1,SALTNEY T1,SPM
Sauchie,SAUCHIE,SPD
Saughton Road North,SAUGHTON ROAD NORTH,SPD
Selkirk,SELKIRK,SPD
Shawpark Street,SHAWPARK STREET,SPD
Sherwood,SHERWOOD,SPD
Shotts,SHOTTS,SPD
Shrubhill,SHRUBHILL,SPD
Sighthill,SIGHTHILL,SPD
Sighthill Farm,SIGHTHILL FARM,SPD
Sorbie,SORBIE,SPD
South Gyle,SOUTH GYLE,SPD
South Queensferry,SOUTH QUEENSFERRY,SPD
Southfield,SOUTHFIELD,SPD
Spango,,
Spott Road,SPOTT ROAD,SPD
St Andrews,ST. ANDREWS,SPD
St Andrews Cross,ST. ANDREWS CROSS,SPD
St Boswells,ST. BOSWELLS,SPD
St James Centre,ST. JAMES CENTRE,SPD
St Ninians,ST. NINIANS,SPD
St Vincent Crescent,ST VINCENT CRESCENT,SPD
Stepford,STEPFORD,SPD
Stevenston,STEVENSTON,SPD
Stewarton,STEWARTON,SPD
Stirling,STIRLING,SPD
Stirling GSP,STIRLING,SPD
Stirling University,STIRLING UNIVERSITY,SPD
Stonehouse,STONEHOUSE,SPD
Stranraer,STRANRAER,SPD
Strathaven,STRATHAVEN,SPD
Strathaven GSP,STRATHAVEN,SPD
Strathleven,STRATHLEVEN,SPD
Strathleven GSP,STRATHLEVEN,SPD
TACO PLASTICS T1 / TACO PLASTICS T2 / UNITED PERIPHERALS T1,TACO PLASTICS T1 / TACO PLASTICS T2 / UNITED PERIPHERALS T1,SPM
TARPORLEY T1,TARPORLEY T1,SPM
TARVIN T1,TARVIN T1,SPM
TRAWSFYNYDD,TRAWSFYNYDD,SPM
TRYWERYN T1,TRYWERYN T1,SPM
TWYFORDS T1,TWYFORDS T1,SPM
TYWYN T1,TYWYN T1,SPM
Telford Rd GSP,TELFORD ROAD,SPD
Telford Road,TELFORD ROAD,SPD
Thistle Court,THISTLE COURT,SPD
Tongland 33kV,,
Torness,TORNESS,SPD
Towers Road,TOWERS ROAD,SPD
Townhill,TOWNHILL,SPD
Tranent,TRANENT,SPD
Troon,TROON,SPD
Uddingston,UDDINGSTON,SPD
Underwood,UNDERWOOD,SPD
VAUXHALL NORTH RD T1,,
Virginia Street,VIRGINIA STREET,SPD
WAENFAWR T1,WAENFAWR T1,SPM
WALLASEY GT1 / WALLASEY GT2 / WOODSIDE GT2,WALLASEY GT1 / WALLASEY GT2 / WOODSIDE GT2,SPM
WELSHPOOL T1,WELSHPOOL T1,SPM
WEM EAST T1,WEM EAST T1,SPM
WEM T1,WEM T1,SPM
WERVIN T1,WERVIN T1,SPM
WEST FELTON T1,WEST FELTON T1,SPM
WESTON T1,WESTON T1,SPM
WHEELOCK T1,WHEELOCK T1,SPM
WHITCHURCH T1,WHITCHURCH T1,SPM
WIMPEYS PANT QUARRY T1 / WIMPEYS PANT QUARRY T2,WIMPEYS PANT QUARRY T1 / WIMPEYS PANT QUARRY T2,SPM
WINCHAM T1,WINCHAM T1,SPM
WISTASTON HALL T1,WISTASTON HALL T1,SPM
WRENBURY FRITH T1,WRENBURY FRITH T1,SPM
Waddell Street,WADDELL STREET,SPD
Warout Road,WAROUT ROAD,SPD
Watling Street,WATLING STREET,SPD
Wavertree Boulevard T1 / Wavertree Boulevard T2,,
West Calder,WEST CALDER,SPD
West George St,WEST GEORGE STREET,SPD
West George Street,WEST GEORGE STREET,SPD
West Linton,WEST LINTON,SPD
Westburn Rd GSP,WESTBURN ROAD,SPD
Westburn Road,WESTBURN ROAD,SPD
Westerton,WESTERTON,SPD
Westfield,WESTFIELD,SPD
Westfield Avenue,WESTFIELD AVE,SPD
Westwood,WESTWOOD,SPD
Whitchester,WHITCHESTER,SPD
Whitehouse,WHITEHOUSE,SPD
Whitlawburn,WHITLAWBURN,SPD
Wholeflats,WHOLEFLATS,SPD
William Street,WILLIAM STREET,SPD
Wishaw A,WISHAW,SPD
Wishaw B,WISHAW,SPD
Woodend,WOODEND,SPD
Woodisle,WOODISLE,SPD
Woodside,WOODSIDE,SPD
YOCKINGS GATE T1,YOCKINGS GATE T1,SPM
YSBYTY GLAN CLWYD T1,YSBYTY GLAN CLWYD T1,SPM
Yetholm,YETHOLM,SPD
Yoker Ferry Road,YOKER FERRY ROAD,SPD
Zetland Park,ZETLAND PARK,SPD
