group_name,dfes_substation,licence
Consett Street,CONSETT STREET,SPD
Corra Linn,CORRA LINN,SPD
Cousland,COUSLAND,SPD
Cowdenbeath,COWDENBEATH,SPD
Cowgate,COWGATE,SPD
Coylton,COYLTON,SPD
Craigdhu Road,CRAIGDHU ROAD,SPD
Craigendoran,CRAIGENDORAN,SPD
Craigneuk,CRAIGNEUK,SPD
Creetown,CREETOWN,SPD
Cronberry,CRONBERRY,SPD
Crookston,CROOKSTON,SPD
Crookston A,CROOKSTON A,SPD
Crookston B,CROOKSTON B,SPD
Cumbernauld,CUMBERNAULD,SPD
Cumnock,CUMNOCK,SPD
Cupar,CUPAR,SPD
Cupar GSP,CUPAR,SPD
Currie,CURRIE,SPD
DAILY POST & ECHO T1 / DAILY POST & ECHO T2,DAILY POST & ECHO T1 / DAILY POST & ECHO T2,SPM
DALLAM GT1 / SANKEY BRIDGES GT1 / WARRINGTON GT3,DALLAM GT1 / SANKEY BRIDGES GT1 / WARRINGTON GT3,SPM
DARESBURY NPL T1 / DARESBURY PK T1,,
DAVY WAY T1 / LLAY T1,DAVY WAY T1 / LLAY T1,SPM
DEESIDE ALUMINIUM T1 / DUNLOP PLASTICS T1 / FIRESTONE T1 / TETRAPAK T1,DEESIDE ALUMINIUM T1 / DUNLOP PLASTICS T1 / FIRESTONE T1 / TETRAPAK T1,SPM
DEESIDE IND PK T1 / DEESIDE IND PK 6TH AVE T1 / RAF SEALAND T1,DEESIDE IND PK T1 / DEESIDE IND PK 6TH AVE T1 / RAF SEALAND T1,SPM
DEESIDE PK GT1 / SIXTH AVE GT1,DEESIDE PK GRID GT1 / SIXTH AVE GRID GT1,SPM
DELAMORE ST T1 / KIRKDALE T1 / WALTON T2,DELAMORE ST T1 / KIRKDALE T1 / WALTON T1,SPM
DENBIGH T1,,
DESOTO RD T1 / MERSEY BRIDGE T1 / PITT ST T1,DESOTO RD T1 / MERSEY BRIDGE T1 / PITT ST T1,SPM
DIBBINSDALE T1 / PLYMYARD T1 / WIBP HARDKNOTT RD T1,DIBBINSDALE T1 / PLYMYARD T1 / WIBP HARDKNOTT RD T1,SPM
DINGLE T1 / GRANBY T1 / ST JAMES T2,DINGLE T1 / GRANBY T1 / ST JAMES T2,SPM
DITTON T1 / GAVIN RD T1 / HOUGH GREEN T1 / RTZ T1,DITTON T1 / GAVIN RD T1 / HOUGH GREEN T1 / RTZ T1,SPM
DODDS LA T1 / HOLBORN HILL T1 / MAGHULL T1 / MAGHULL T2 / ROBBINS BRIDGE T1,DODDS LA T1 / HOLBORN HILL T1 / MAGHULL T1 / MAGHULL T2 / ROBBINS BRIDGE T1,SPM
DOLGARROG T1 / DOLGARROG T2,DOLGARROG T1 / DOLGARROG T2,SPM
